COA,Org,Funding Org Name,Plan,Grade,Post,Class,Pos Nbr,Dept ID,Position Dept Name,Salary,FTE,Months
BL,CPIA,CHAMBER AND COLLABORATIVE MUSIC,AC1,FVX,FV3,PT - Assistant Professor,00005985,BL-MUS,JACOBS SCHOOL OF MUSIC,45000,1,10
BL,BI,BIOLOGY,AC1,RSX,RS1,RS - Senior Scientist;Scholar,00034704,BL-BI,BIOLOGY,104033,1,12
BL,MATH,MATHEMATICS,AC1,UAS,UAS,,00027531,BL-MATH,MATHEMATICS,61378,1,12
BL,STAT,STATISTICS,AC1,RSP,FV3,PT - Assistant Professor,00054868,BL-STAT,STATISTICS,65000,1,10
BL,PHYS,PHYSICS,AC1,FTX,FT2,PC - Associate Professor,00005423,BL-PHYS,PHYSICS,98310,1,10
BL,CHEM,CHEMISTRY,AC1,RSP,RSP,,00001067,BL-CHEM,CHEMISTRY,50000,1,12
BL,SPHS,SPEECH & HEARING SCIENCES,AC1,FTX,FT2,PC - Associate Professor,00008164,BL-SPHS,SPEECH & HEARING SCIENCES,108368,1,10
BL,ELPS,LEADERSHIP & POLICY STUDIES,AC1,FTX,FT3,PT - Assistant Professor,00004900,BL-EDUC,EDUCATION,84460,1,10
BL,BIOC,BIOCHEMISTRY,AC1,RSP,RSP,,00035016,BL-BIOC,BIOCHEMISTRY,53760,1,12
BL,PSY,PSYCHOLOGICAL & BRAIN SCIENCES,AC1,FLX,FLS,TS - Senior Lecturer,00021694,BL-PSY,PSYCHOLOGICAL & BRAIN SCIENCES,69401,1,10
BL,BI,BIOLOGY,AC1,FTX,FT1,PR - Professor,00034114,BL-BI,BIOLOGY,162503,1,10
BL,COMS,COMMUNICATION SCIENCE,AC1,FTX,FT2,PC - Associate Professor,00042511,BL-COMS,COMMUNICATION SCIENCE,83073,1,10
BL,CFLT,CTR FOR LEARNING & TECHNOLOGY,AC1,RSX,RS3,RT - Assistant Scientist;Scholar,00011972,BL-EDUC,EDUCATION,59450,1,12
BL,INFI,DEPARTMENT OF INFORMATICS,AC1,FLX,FLS,TS - Senior Lecturer,00039441,BL-INFI,DEPARTMENT OF INFORMATICS,87975,1,10
BL,MATH,MATHEMATICS,AC1,FVX,,,00000749,BL-MATH,MATHEMATICS,47500,1,10
BL,SOC,SOCIOLOGY,AC1,FTX,FT1,PR - Professor,00005580,BL-SOC,SOCIOLOGY,270092,1,12
BL,ISTE,INSTRUCTIONAL SYSTEMS TECHNOLOGY,AC1,FTX,AAM,,00005853,BL-EDUC,EDUCATION,104884,1,10
BL,HEWD,HEALTH AND WELLNESS DESIGN,AC1,RSP,RSP,,00043594,BL-HEWD,HEALTH AND WELLNESS DESIGN,60420,1,12
BL,SPHS,SPEECH & HEARING SCIENCES,AC1,FCX,FC2,PC - Associate Professor,00028595,BL-SPHS,SPEECH & HEARING SCIENCES,79482,1,12
BL,OPT,OPTOMETRY,AC1,AAJ,FC1,PR - Professor,00045036,BL-OPT,OPTOMETRY,152700,1,12
BL,SOAD,ESKENAZI SCHOOL OF ART ARCH + DESIGN,AC1,FLX,AAM,,00036581,BL-SOAD,ESKENAZI SCHOOL OF ART ARCH + ,65791,1,10
BL,IIDC,IND INST ON DISABILITY/COMMNTY,AC1,RSX,RS3,RT - Assistant Scientist;Scholar,00051257,BL-IIDC,IND INST ON DISABILITY/COMMNTY,70700,1,12
BL,BEPP,DEPT OF ECONOMICS & PUBLIC POLICY,AC1,FTX,FT3,PT - Assistant Professor,00044770,BL-BUS,KELLEY SCHOOL OF BUSINESS,169450,1,10
BL,KINE,KINESIOLOGY,AC1,FTX,FT1,PR - Professor,00005791,BL-KINE,KINESIOLOGY,174839,1,10
BL,JOUR,JOURNALISM,AC1,FTX,FT2,PC - Associate Professor,00005793,BL-JOUR,JOURNALISM,90172,1,10
BL,INFI,DEPARTMENT OF INFORMATICS,AC1,FLX,FL5,TL - Lecturer,00051226,BL-INFI,DEPARTMENT OF INFORMATICS,70769,1,10
BL,MATH,MATHEMATICS,AC1,RSP,RSP,,00000740,BL-MATH,MATHEMATICS,54500,1,10
BL,OPT,OPTOMETRY,AC1,AAJ,FLS,TS - Senior Lecturer,00036402,BL-OPT,OPTOMETRY,173411,1,12
BL,SOC,SOCIOLOGY,AC1,RSX,RS3,RT - Assistant Scientist;Scholar,00038053,BL-SOC,SOCIOLOGY,72000,1,12
BL,OADT,BUSINESS OPERATIONS & DECISION TECHNOLOG,AC1,FTX,FT3,PT - Assistant Professor,00012575,BL-BUS,KELLEY SCHOOL OF BUSINESS,187750,1,10
BL,CFLT,CTR FOR LEARNING & TECHNOLOGY,AC1,RSP,RSP,,00000974,BL-EDUC,EDUCATION,54590,1,12
BL,SOAD,ESKENAZI SCHOOL OF ART ARCH + DESIGN,AC1,FLX,FL5,TL - Lecturer,00047926,BL-SOAD,ESKENAZI SCHOOL OF ART ARCH + ,53550,1,10
BL,CHEM,CHEMISTRY,AC1,RSS,RSS,,00000953,BL-CHEM,CHEMISTRY,63540,1,12
BL,GNDR,GENDER STUDIES,AC1,FTX,FT3,PT - Assistant Professor,00041172,BL-GNDR,GENDER STUDIES,93456,1,10
BL,CHEM,CHEMISTRY,AC1,RSX,RS3,RT - Assistant Scientist;Scholar,00011785,BL-CHEM,CHEMISTRY,57805,1,12
BL,BRSS,BRASS,AC1,FTX,FT1,PR - Professor,00005946,BL-MUS,JACOBS SCHOOL OF MUSIC,136437,1,10
BL,IPRC,PREVENTION INSIGHTS,AC1,RSS,,,00031498,BL-APHS,APPLIED HEALTH SCIENCE,67032,1,12
BL,CHEM,CHEMISTRY,AC1,RSP,RSP,,00001065,BL-CHEM,CHEMISTRY,49997,1,12
BL,CMLT,COMPARATIVE LITERATURE,AC1,FTX,AAM,,00004937,BL-CMLT,COMPARATIVE LITERATURE,97340,1,10
BL,CEDP,COUNSELING & EDUCATIONAL PSY,AC1,FTX,FT2,PC - Associate Professor,00033209,BL-EDUC,EDUCATION,93022,1,10
BL,HIST,HISTORY,AC1,FTX,FT2,PC - Associate Professor,00004457,BL-HIST,HISTORY,84525,1,10
BL,PSY,PSYCHOLOGICAL & BRAIN SCIENCES,AC1,FVX,FV3,PT - Assistant Professor,00048052,BL-PSY,PSYCHOLOGICAL & BRAIN SCIENCES,52000,1,10
BL,OPT,OPTOMETRY,AC1,AAJ,FC2,PC - Associate Professor,00037577,BL-OPT,OPTOMETRY,143900,1,12
BL,ELPS,LEADERSHIP & POLICY STUDIES,AC1,FTX,FT3,PT - Assistant Professor,00007619,BL-EDUC,EDUCATION,84318,1,10
BL,CPCS,"COMM, PROF, AND COMPUTER SKILL",AC1,FLX,FLS,TS - Senior Lecturer,00021164,BL-BUS,KELLEY SCHOOL OF BUSINESS,76137,1,10
BL,OADT,BUSINESS OPERATIONS & DECISION TECHNOLOG,AC1,FLX,FLS,TS - Senior Lecturer,00033424,BL-BUS,KELLEY SCHOOL OF BUSINESS,95000,1,10
BL,SOC,SOCIOLOGY,AC1,FTX,AVP,,00005572,BL-SOC,SOCIOLOGY,225000,1,10
BL,APHS,APPLIED HEALTH SCIENCE,AC1,FTX,FT3,PT - Assistant Professor,00036328,BL-APHS,APPLIED HEALTH SCIENCE,93816,1,10
BL,BUS,KELLEY SCHOOL OF BUSINESS,AC1,AAJ,AAJ,,00046200,BL-BUS,KELLEY SCHOOL OF BUSINESS,360000,1,12
BL,SOC,SOCIOLOGY,AC1,FTX,AAM,,00013653,BL-SOC,SOCIOLOGY,249372,1,12
BL,MUSL,MUSIC LIBRARY,AC1,LTX,LT2,LC - Associate Librarian,00003436,BL-LIBR,LIBRARIES,69000,1,12
BL,CEDP,COUNSELING & EDUCATIONAL PSY,AC1,FTX,FT1,PR - Professor,00005032,BL-EDUC,EDUCATION,135241,1,10
BL,FRIT,FRENCH AND ITALIAN,AC1,FTX,FT3,PT - Assistant Professor,00014250,BL-FRIT,FRENCH AND ITALIAN,80000,1,10
BL,OPT,OPTOMETRY,AC1,RSS,RSS,,00032132,BL-OPT,OPTOMETRY,54288,1,12
BL,PHYS,PHYSICS,AC1,FTX,FT3,PT - Assistant Professor,00005420,BL-PHYS,PHYSICS,89056,1,10
BL,LSSE,LAW SCHOOL SURVEY OF STUDENT ENGAGEMENT,AC1,FVX,FV8,,00000971,BL-EDUC,EDUCATION,69311,1,12
BL,MCOM,COMPOSITION,AC1,FTX,FT1,PR - Professor,00005961,BL-MUS,JACOBS SCHOOL OF MUSIC,98471,1,10
BL,BI,BIOLOGY,AC1,RSS,RSS,,00004739,BL-BI,BIOLOGY,54381,1,12
BL,CPIA,CHAMBER AND COLLABORATIVE MUSIC,AC1,FLX,FL5,TL - Lecturer,00051434,BL-MUS,JACOBS SCHOOL OF MUSIC,47891,1,10
